"11xf -- Kuluttajahintaindeksi (2005=100), kuukausitiedot, 2005M01-2023M02",,
,,
Kuukausi,Hyodyke,Pisteluku
2008M04,011613 Omenat,121.59
2008M05,0111 Viljatuotteet ja leipa,111.44
2008M05,0112 Liha,110.1
2008M05,01141 Maito,130.31
2008M05,01144 Juustot ja rahkat,115.74
2008M05,01151 Voi,118.91
2008M05,011612 Banaanit,100.9
2008M05,011613 Omenat,129.34
2008M06,0111 Viljatuotteet ja leipa,111.57
2008M06,0112 Liha,110.17
2008M06,01141 Maito,131.12
2008M06,01144 Juustot ja rahkat,116.46
2008M06,01151 Voi,121.54
2008M06,011612 Banaanit,91.31
2008M06,011613 Omenat,139.5
2008M07,0111 Viljatuotteet ja leipa,111.32
2008M07,0112 Liha,110.47
2008M07,01141 Maito,131.18
2008M07,01144 Juustot ja rahkat,116.73
2008M07,01151 Voi,121.62
2008M07,011612 Banaanit,89.95
2008M07,011613 Omenat,141.73
2008M08,0111 Viljatuotteet ja leipa,111.42
2008M08,0112 Liha,110.26
2008M08,01141 Maito,130.58
2008M08,01144 Juustot ja rahkat,117.05
2008M08,01151 Voi,121.78
2008M08,011612 Banaanit,83.1
2008M08,011613 Omenat,138.06
2008M09,0111 Viljatuotteet ja leipa,112.37
2008M09,0112 Liha,112.33
2008M09,01141 Maito,131.21
2008M09,01144 Juustot ja rahkat,117.81
2008M09,01151 Voi,125.25
2008M09,011612 Banaanit,83.96
2008M09,011613 Omenat,132.12
2008M10,0111 Viljatuotteet ja leipa,113.07
2008M10,0112 Liha,113.09
2008M10,01141 Maito,131.2
2008M10,01144 Juustot ja rahkat,118.05
2008M10,01151 Voi,124.11
2008M10,011612 Banaanit,85.88
2008M10,011613 Omenat,128.57
2008M11,0111 Viljatuotteet ja leipa,113.55
2008M11,0112 Liha,113.46
2008M11,01141 Maito,131.21
2008M11,01144 Juustot ja rahkat,117.9
2008M11,01151 Voi,119.92
2008M11,011612 Banaanit,88.34
2008M11,011613 Omenat,122.7
2008M12,0111 Viljatuotteet ja leipa,113.38
2008M12,0112 Liha,113.35
2008M12,01141 Maito,131.21
2008M12,01144 Juustot ja rahkat,117.7
2008M12,01151 Voi,111.49
2008M12,011612 Banaanit,92.27
2008M12,011613 Omenat,121.34
2009M01,0111 Viljatuotteet ja leipa,115.44
2009M01,0112 Liha,116.19
2009M01,01141 Maito,131.36
2009M01,01144 Juustot ja rahkat,119.63
2009M01,01151 Voi,100.55
2009M01,011612 Banaanit,88.91
2009M01,011613 Omenat,121.62
2009M02,0111 Viljatuotteet ja leipa,115.64
2009M02,0112 Liha,116.99
2009M02,01141 Maito,131.07
2009M02,01144 Juustot ja rahkat,120.68
2009M02,01151 Voi,99.25
2009M02,011612 Banaanit,89.54
2009M02,011613 Omenat,120.62
2009M03,0111 Viljatuotteet ja leipa,116.54
2009M03,0112 Liha,116.64
2009M03,01141 Maito,129.41
2009M03,01144 Juustot ja rahkat,120.68
2009M03,01151 Voi,93.98
2009M03,011612 Banaanit,108.08
2009M03,011613 Omenat,121.15
2009M04,0111 Viljatuotteet ja leipa,116.8
2009M04,0112 Liha,117.07
2009M04,01141 Maito,130.15
